,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-26 01:30:00+00:00,36737.51953125,85.2699966430664,,,,,36737.51953125,85.2699966430664,,,,,36737.51953125,85.4000015258789,,,,,36685.765625,85.26000213623047,,,,,36714.59765625,85.33000183105469,,,,,43681792,294.0,,,,
2022-01-26 01:45:00+00:00,36880.2265625,85.23999786376953,,,,,36880.2265625,85.23999786376953,,,,,36880.2265625,85.36000061035156,,,,,36734.25,85.20999908447266,,,,,36737.65234375,85.2699966430664,,,,,139431936,702.0,,,,
2022-01-26 02:00:00+00:00,36969.84375,85.37000274658203,,,,,36969.84375,85.37000274658203,,,,,36969.84375,85.37000274658203,,,,,36869.98828125,85.2300033569336,,,,,36881.6484375,85.25,,,,,23883776,1219.0,,,,
2022-01-26 02:15:00+00:00,36937.22265625,85.36000061035156,,,,,36937.22265625,85.36000061035156,,,,,36988.49609375,85.37999725341797,,,,,36937.22265625,85.29000091552734,,,,,36988.49609375,85.37000274658203,,,,,86366208,352.0,,,,
2022-01-26 02:30:00+00:00,36903.62890625,85.27999877929688,,,,,36903.62890625,85.27999877929688,,,,,36953.78125,85.38999938964844,,,,,36903.62890625,85.2699966430664,,,,,36933.14453125,85.36000061035156,,,,,0,771.0,,,,
2022-01-26 02:45:00+00:00,36874.62109375,85.0999984741211,,,,,36874.62109375,85.0999984741211,,,,,36901.63671875,85.29000091552734,,,,,36855.53125,85.08999633789062,,,,,36900.1015625,85.2699966430664,,,,,22212608,1038.0,,,,
2022-01-26 03:00:00+00:00,37005.31640625,85.12000274658203,,,,,37005.31640625,85.12000274658203,,,,,37005.31640625,85.20999908447266,,,,,36850.95703125,85.08999633789062,,,,,36865.73046875,85.0999984741211,,,,,167299072,1123.0,,,,
2022-01-26 03:15:00+00:00,37142.21484375,85.05999755859375,,,,,37142.21484375,85.05999755859375,,,,,37142.21484375,85.19999694824219,,,,,36987.8671875,85.04000091552734,,,,,37005.49609375,85.12999725341797,,,,,232288256,1520.0,,,,
2022-01-26 03:30:00+00:00,37337.578125,85.1500015258789,,,,,37337.578125,85.1500015258789,,,,,37337.578125,85.1500015258789,,,,,37145.4921875,85.01000213623047,,,,,37146.734375,85.05999755859375,,,,,139261952,1199.0,,,,
2022-01-26 03:45:00+00:00,37453.7421875,85.22000122070312,,,,,37453.7421875,85.22000122070312,,,,,37464.26953125,85.23999786376953,,,,,37372.94921875,85.13999938964844,,,,,37372.94921875,85.13999938964844,,,,,315254784,859.0,,,,
2022-01-26 04:00:00+00:00,37366.24609375,85.2300033569336,,,,,37366.24609375,85.2300033569336,,,,,37422.39453125,85.23999786376953,,,,,37345.69921875,85.18000030517578,,,,,37422.39453125,85.22000122070312,,,,,18817024,529.0,,,,
2022-01-26 04:15:00+00:00,37309.42578125,85.23999786376953,,,,,37309.42578125,85.23999786376953,,,,,37372.23828125,85.23999786376953,,,,,37299.953125,85.20999908447266,,,,,37372.23828125,85.2300033569336,,,,,22591488,158.0,,,,
2022-01-26 04:30:00+00:00,37369.57421875,85.20999908447266,,,,,37369.57421875,85.20999908447266,,,,,37369.57421875,85.2699966430664,,,,,37314.0625,85.18000030517578,,,,,37317.11328125,85.25,,,,,82216960,340.0,,,,
2022-01-26 04:45:00+00:00,37758.60546875,85.22000122070312,,,,,37758.60546875,85.22000122070312,,,,,37758.60546875,85.2300033569336,,,,,37370.53515625,85.19000244140625,,,,,37370.53515625,85.20999908447266,,,,,561770496,222.0,,,,
2022-01-26 05:00:00+00:00,37657.70703125,85.19999694824219,,,,,37657.70703125,85.19999694824219,,,,,37812.08984375,85.2699966430664,,,,,37657.70703125,85.19999694824219,,,,,37758.390625,85.25,,,,,74293248,351.0,,,,
2022-01-26 05:15:00+00:00,37666.7421875,85.22000122070312,,,,,37666.7421875,85.22000122070312,,,,,37680.96484375,85.2300033569336,,,,,37646.30859375,85.12999725341797,,,,,37656.23046875,85.19999694824219,,,,,59600896,474.0,,,,
2022-01-26 05:30:00+00:00,37757.0078125,85.19000244140625,,,,,37757.0078125,85.19000244140625,,,,,37757.0078125,85.26000213623047,,,,,37679.6484375,85.1500015258789,,,,,37682.18359375,85.2300033569336,,,,,75192320,802.0,,,,
2022-01-26 05:45:00+00:00,37705.4453125,85.30999755859375,,,,,37705.4453125,85.30999755859375,,,,,37881.4453125,85.33999633789062,,,,,37702.7734375,85.18000030517578,,,,,37762.6015625,85.19999694824219,,,,,173123584,897.0,,,,
2022-01-26 06:00:00+00:00,37649.08203125,85.29000091552734,,,,,37649.08203125,85.29000091552734,,,,,37672.375,85.33999633789062,,,,,37648.98828125,85.25,,,,,37666.68359375,85.30000305175781,,,,,15190016,1184.0,,,,
2022-01-26 06:15:00+00:00,37637.40234375,85.41999816894531,,,,,37637.40234375,85.41999816894531,,,,,37727.11328125,85.45999908447266,,,,,37637.40234375,85.26000213623047,,,,,37642.72265625,85.29000091552734,,,,,81104896,1715.0,,,,
2022-01-26 06:30:00+00:00,37439.23828125,85.51000213623047,,,,,37439.23828125,85.51000213623047,,,,,37519.48828125,85.62999725341797,,,,,37416.703125,85.38999938964844,,,,,37519.48828125,85.41999816894531,,,,,54902784,2444.0,,,,
2022-01-26 06:45:00+00:00,37320.578125,85.52999877929688,,,,,37320.578125,85.52999877929688,,,,,37457.71484375,85.55999755859375,,,,,37297.10546875,85.45999908447266,,,,,37447.9609375,85.5199966430664,,,,,64430080,1234.0,,,,
2022-01-26 07:00:00+00:00,37218.859375,85.54000091552734,,,,,37218.859375,85.54000091552734,,,,,37319.5078125,85.73999786376953,,,,,37218.859375,85.51000213623047,,,,,37316.7734375,85.54000091552734,,,,,25552896,2285.0,,,,
