,Date,Label,Price
0,2017-01-03,OPEN,42.97200012207031
1,2017-01-03,CLOSE,43.39799880981445
2,2017-01-04,OPEN,42.95000076293945
3,2017-01-04,CLOSE,45.39799880981445
4,2017-01-05,OPEN,45.28400039672852
5,2017-01-05,CLOSE,45.34999847412109
6,2017-01-06,OPEN,45.38600158691406
7,2017-01-06,CLOSE,45.80199813842773
8,2017-01-09,OPEN,45.79399871826172
9,2017-01-09,CLOSE,46.25600051879883
10,2017-01-10,OPEN,46.400001525878906
11,2017-01-10,CLOSE,45.9739990234375
12,2017-01-11,OPEN,45.81399917602539
13,2017-01-11,CLOSE,45.94599914550781
14,2017-01-12,OPEN,45.8120002746582
15,2017-01-12,CLOSE,45.917999267578125
16,2017-01-13,OPEN,46.0
17,2017-01-13,CLOSE,47.54999923706055
18,2017-01-17,OPEN,47.34000015258789
19,2017-01-17,CLOSE,47.11600112915039
20,2017-01-18,OPEN,47.33000183105469
21,2017-01-18,CLOSE,47.672000885009766
22,2017-01-19,OPEN,49.45000076293945
23,2017-01-19,CLOSE,48.75199890136719
24,2017-01-20,OPEN,49.09199905395508
25,2017-01-20,CLOSE,48.94599914550781
26,2017-01-23,OPEN,49.16999816894531
27,2017-01-23,CLOSE,49.78400039672852
28,2017-01-24,OPEN,50.0
29,2017-01-24,CLOSE,50.922000885009766
30,2017-01-25,OPEN,51.46200180053711
31,2017-01-25,CLOSE,50.89400100708008
32,2017-01-26,OPEN,50.858001708984375
33,2017-01-26,CLOSE,50.50199890136719
34,2017-01-27,OPEN,50.2760009765625
35,2017-01-27,CLOSE,50.59000015258789
36,2017-01-30,OPEN,50.50600051879883
37,2017-01-30,CLOSE,50.1259994506836
38,2017-01-31,OPEN,49.84799957275391
39,2017-01-31,CLOSE,50.38600158691406
40,2017-02-01,OPEN,50.61000061035156
41,2017-02-01,CLOSE,49.84799957275391
42,2017-02-02,OPEN,49.667999267578125
43,2017-02-02,CLOSE,50.310001373291016
44,2017-02-03,OPEN,50.38199996948242
45,2017-02-03,CLOSE,50.26599884033203
46,2017-02-06,OPEN,50.20000076293945
47,2017-02-06,CLOSE,51.55400085449219
48,2017-02-07,OPEN,51.63800048828125
49,2017-02-07,CLOSE,51.49599838256836
50,2017-02-08,OPEN,51.470001220703125
51,2017-02-08,CLOSE,52.41600036621094
52,2017-02-09,OPEN,53.25
53,2017-02-09,CLOSE,53.84000015258789
54,2017-02-10,OPEN,53.95800018310547
